date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:21:10	9110/9110	---M--	200	added ('OK')	image/png	etag:%22e63e18-2396-5a7a8b0ac9d00%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/assets/img/logo.png	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/assets/img/logo.png	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:10	34751/34751	---M-Z	200	added ('OK')	text/html	etag:%22e63e78-87bf-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/chat.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/chat.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:11	47189/47189	---M-Z	200	added ('OK')	text/html	etag:%22e63e9a-b855-5a7b40a0b0700-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/index2.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/index2.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:11	49609/49609	---M-Z	200	added ('OK')	text/html	etag:%22e63eb0-c1c9-5a7b43902f400-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/widget.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/widget.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:11	37244/37244	---M-Z	200	added ('OK')	text/html	etag:%22e63ea3-917c-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/portfolio.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/portfolio.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:11	40747/40747	---M-Z	200	added ('OK')	text/html	etag:%22e63e6c-9f2b-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/blog.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/blog.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:12	29094/29094	---M-Z	200	added ('OK')	text/html	etag:%22e63e70-71a6-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/calendar.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/calendar.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:12	35616/35616	---M-Z	200	added ('OK')	text/html	etag:%22e63e80-8b20-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/email-compose.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/email-compose.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:12	38170/38170	---M-Z	200	added ('OK')	text/html	etag:%22e63e82-951a-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/email-read.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/email-read.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:12	36486/36486	---M-Z	200	added ('OK')	text/html	etag:%22e627f0-8e86-5a7b0a876e480-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/alert.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/alert.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
